time,gFx,gFy,gFz,TgF
8.7232,0.0024,-0.0274,0.9877,0.99
8.740109,-0.0039,-0.0293,0.9875,0.99
8.781189,-0.001,-0.0227,0.9782,0.98
8.781566,-0.001,-0.0227,0.9782,0.98
8.803408,-0.0022,-0.0193,0.9872,0.99
8.82001,-0.0049,-0.0198,0.9687,0.97
8.839465,0.0042,-0.0181,1.0063,1.01
8.859918,0.0037,-0.02,0.988,0.99
8.889381,-0.0007,-0.0166,0.985,0.99
8.906466,-0.0051,-0.0144,0.9977,1
8.923262,-0.0034,-0.0166,0.9955,1
8.940121,0.0015,-0.0176,0.9809,0.98
8.963171,0.0073,-0.0235,0.986,0.99
8.980633,0.0027,-0.0232,0.9858,0.99
9.007913,-0.0027,-0.0232,0.989,0.99
9.024388,-0.001,-0.0269,0.9902,0.99
9.041173,-0.0005,-0.0279,0.9855,0.99
9.081332,-0.0024,-0.0222,0.989,0.99
9.081706,-0.0024,-0.0222,0.989,0.99
9.107443,-0.0032,-0.023,0.986,0.99
9.124063,-0.0015,-0.021,0.989,0.99
9.141284,0.0002,-0.0198,0.9892,0.99
9.181718,-0.0027,-0.0154,0.9868,0.99
9.18202,-0.0027,-0.0154,0.9868,0.99
9.20726,0.001,-0.0208,0.9846,0.98
9.223742,0.001,-0.0242,0.9824,0.98
9.241934,0.0039,-0.0252,0.9975,1
9.273333,-0.0051,-0.0281,0.9721,0.97
9.291974,0.0017,-0.0271,1.0007,1
9.30865,0.0034,-0.023,0.9995,1
9.341651,-0.0015,-0.0195,0.9836,0.98
9.365742,-0.0034,-0.0171,0.9951,1
9.381925,-0.0066,-0.0166,0.9868,0.99
9.392569,-0.0017,-0.0188,0.9858,0.99
9.425241,0.0054,-0.0242,0.9875,0.99
9.442507,-0.001,-0.0239,0.9848,0.99
9.465404,-0.0032,-0.0254,0.985,0.99
9.482073,-0.0024,-0.0222,0.9902,0.99
9.508789,-0.001,-0.0203,0.9965,1
9.525488,-0.0024,-0.021,0.978,0.98
9.543089,-0.0027,-0.0235,0.9799,0.98
9.559746,0.0054,-0.022,1.0039,1
9.582991,0.002,-0.0215,0.9811,0.98
9.596965,0,-0.0208,0.9819,0.98
9.625476,-0.0042,-0.0178,0.9946,0.99
9.643155,-0.0012,-0.0191,0.9924,0.99
9.659977,0.002,-0.0215,0.9819,0.98
9.683477,0.0051,-0.0247,0.9872,0.99
9.699694,0.0017,-0.0227,0.9841,0.98
9.72696,-0.0029,-0.0252,0.9904,0.99
9.743443,0.0002,-0.0276,0.9909,0.99
9.759468,-0.0012,-0.0257,0.9826,0.98
9.798758,-0.0027,-0.0215,0.9897,0.99
9.799015,-0.0027,-0.0215,0.9897,0.99
9.826744,-0.0027,-0.0225,0.9875,0.99
9.843535,0.0002,-0.0215,0.988,0.99
9.859579,-0.0017,-0.0213,0.988,0.99
9.883314,0.0015,-0.0208,0.9882,0.99
9.900167,-0.0002,-0.0205,0.987,0.99
9.927131,0.0012,-0.0208,0.989,0.99
9.943148,0,-0.0208,0.987,0.99
9.968365,-0.0024,-0.0235,0.9833,0.98
9.982713,-0.0042,-0.0247,0.9882,0.99
10.010247,-0.0005,-0.0261,0.9858,0.99
10.027911,-0.0002,-0.0266,0.9777,0.98
10.044386,0.0032,-0.0283,0.9946,0.99
10.068056,0.0046,-0.0296,0.9848,0.99
10.082182,-0.0044,-0.0286,0.974,0.97
10.111075,0.0046,-0.0213,1.0041,1
10.127731,0.0012,-0.0205,0.9804,0.98
10.144222,-0.0049,-0.0159,0.9809,0.98
10.169174,-0.0037,-0.0137,0.9941,0.99
10.185659,-0.0034,-0.0144,0.9885,0.99
10.211333,0.0034,-0.0205,0.9833,0.98
10.227871,0.0059,-0.0254,0.9833,0.98
10.245836,0.0054,-0.0305,0.9865,0.99
