time,gFx,gFy,gFz,TgF
4.832201,0.1038,0.6848,0.0584,0.7
4.852887,0.0792,0.7872,0.054,0.79
4.878264,0.0779,0.9875,0.1168,1
4.894202,0.107,1.1685,0.1827,1.19
4.91101,0.1285,1.2763,0.172,1.29
4.932196,0.1532,1.2599,0.1229,1.28
4.95213,0.1556,1.2596,0.1397,1.28
4.978626,0.0581,1.3825,0.1002,1.39
4.995028,-0.0547,1.3943,0.0625,1.4
5.012701,-0.1405,1.2025,-0.0183,1.21
5.056372,0.0982,1.2824,0.0266,1.29
5.056627,0.0982,1.2824,0.0266,1.29
5.083759,0.0396,1.6285,0.181,1.64
5.094854,-0.0098,1.6229,0.0897,1.63
5.111494,-0.0132,1.4228,0.0537,1.42
5.132102,0.1173,1.1241,0.1559,1.14
5.162138,0.0779,0.6968,0.205,0.73
5.178804,0.0826,0.5404,0.1168,0.56
5.196014,0.0088,0.5678,0.0865,0.57
5.212573,-0.0838,0.6132,0.0701,0.62
5.234181,-0.1683,0.6547,-0.02,0.68
5.255621,-0.0945,0.5841,-0.0855,0.6
5.278893,0.041,0.58,-0.0804,0.59
5.296347,0.0606,0.6403,-0.0046,0.64
5.313717,0.0525,0.7043,-0.0252,0.71
5.359071,0.0862,0.856,0.1317,0.87
5.359474,0.0862,0.856,0.1317,0.87
5.385469,0.001,0.8973,0.055,0.9
5.396474,-0.0674,0.9186,0.0765,0.92
5.430887,-0.1473,1.0276,-0.033,1.04
5.450425,0.0584,1.1756,-0.1432,1.19
5.471996,0.3169,1.3781,0.084,1.42
5.480006,0.3293,1.482,0.0743,1.52
5.496297,0.2555,1.7913,-0.0454,1.81
5.530646,0.1175,1.4886,0.0591,1.49
5.55203,0.1991,0.8556,-0.0107,0.88
5.576404,0.0257,0.7745,-0.0164,0.78
5.588541,-0.0266,0.9276,-0.0142,0.93
5.598818,-0.0176,1.0603,0.0149,1.06
5.635882,0.0227,1.5643,0.0933,1.57
5.658651,0.2731,1.3217,-0.0748,1.35
5.663816,0.3059,1.2474,-0.0694,1.29
5.680806,0.3196,1.0017,0.0877,1.06
5.714449,0.0855,0.7036,0.0677,0.71
5.735858,-0.0535,0.6027,-0.0774,0.61
5.757642,-0.1053,0.5578,-0.116,0.58
5.763667,-0.0889,0.536,-0.109,0.55
5.781486,0.0247,0.4801,-0.063,0.48
5.818177,0.1867,0.4835,0.0633,0.52
5.83999,0.1862,0.6139,-0.0042,0.64
5.847889,0.1871,0.6794,-0.0252,0.71
5.864736,0.1901,0.8336,-0.0459,0.86
5.898507,0.1625,1.0542,0.1383,1.08
5.916613,0.2003,1.1101,0.0752,1.13
5.932667,0.1473,1.212,-0.086,1.22
5.95416,-0.0613,1.6679,0.0938,1.67
5.97782,-0.0545,1.6659,0.0376,1.67
5.989975,0.0017,1.4162,-0.0472,1.42
6.015577,0.1463,1.0649,-0.0694,1.08
6.037134,0.3999,0.9926,-0.0428,1.07
6.058584,0.3335,1.2208,-0.1051,1.27
6.066288,0.2533,1.343,-0.1046,1.37
6.099475,-0.2106,1.7996,0.0647,1.81
6.116403,-0.1681,1.5025,0.0486,1.51
6.137763,-0.011,1.0991,0.0818,1.1
6.160485,0.1473,0.7908,0.0056,0.8
6.166742,0.1849,0.7285,0.0042,0.75
6.199786,0.1058,0.7192,0.0518,0.73
6.216708,0.0484,0.751,0.0305,0.75
6.238658,-0.0117,0.7102,-0.0037,0.71
6.260878,-0.0269,0.6345,-0.0535,0.64
6.271747,-0.0247,0.6049,-0.0943,0.61
6.30034,-0.0467,0.5917,-0.0068,0.59
6.317211,-0.0682,0.5876,0.0816,0.6
6.33442,-0.0308,0.5665,0.0039,0.57
6.354416,0.0357,0.5438,-0.0537,0.55
6.376214,0.0901,0.5907,0.021,0.6
6.399663,0.0787,0.7566,0.0107,0.76
6.417889,0.0264,0.9411,0.1275,0.95
6.435455,-0.0909,1.1184,0.1747,1.14
6.456927,-0.1981,1.3344,0.0691,1.35
6.479935,0.0349,1.3847,-0.0579,1.39
6.49994,0.3362,1.404,0.0804,1.45
6.518127,0.4161,1.5103,0.0708,1.57
6.535154,0.2934,1.5619,-0.044,1.59
6.555792,0.1327,1.5413,-0.12,1.55
6.578707,0.2377,1.1903,-0.0464,1.21
6.601071,0.2397,1.2704,0.0638,1.29
6.618722,0.0327,1.3259,-0.0176,1.33
6.635112,0.0537,1.3061,0.0254,1.31
6.656723,0.1266,1.2105,0.1647,1.23
6.678453,0.2047,1.0124,0.1608,1.05
6.701291,0.2492,0.8338,0.1102,0.88
6.718022,0.2169,0.8255,0.0508,0.86
6.735661,0.088,0.8827,0.0161,0.89
6.753134,-0.0313,0.9105,-0.0169,0.91
6.784287,-0.002,0.86,-0.0093,0.86
6.801708,0.065,0.8226,0.0366,0.83
6.817256,0.1224,0.774,-0.0203,0.78
6.83705,0.1691,0.7398,-0.0205,0.76
6.853548,0.2106,0.7119,-0.0379,0.74
6.885756,0.1251,0.6821,0.0032,0.69
6.901564,0.1109,0.6491,0.0657,0.66
6.918231,0.1058,0.5727,0.1576,0.6
6.939661,0.119,0.5834,0.1087,0.61
6.962023,0.1642,0.7029,0.0393,0.72
6.985856,0.1857,0.9484,0.0855,0.97
7.002154,0.1942,1.1204,0.17,1.15
7.019313,0.191,1.2645,0.2455,1.3
7.035751,0.2145,1.2301,0.2333,1.27
7.057415,0.2301,1.0491,0.1874,1.09
7.081794,0.1241,1.0249,0.0178,1.03
7.103403,-0.002,1.2824,0.1207,1.29
7.12019,-0.0948,1.427,0.1786,1.44
7.136211,-0.0533,1.3764,0.0901,1.38
7.158893,0.2416,1.2692,-0.065,1.29
7.180615,0.2433,1.3825,0.245,1.43
7.203465,-0.0005,1.4981,0.2331,1.52
7.220182,-0.1512,1.4783,0.1363,1.49
7.241812,-0.0511,1.202,0.3064,1.24
7.264684,0.055,0.8998,0.256,0.94
7.286875,0.1204,0.7046,0.2404,0.75
7.30388,0.127,0.687,0.2607,0.75
7.320396,0.0901,0.7603,0.1691,0.78
7.341241,0.0665,0.8624,0.0042,0.86
7.364721,0.0459,0.9286,-0.073,0.93
7.390435,-0.0254,0.8929,0.0269,0.89
7.403563,-0.0252,0.8431,0.098,0.85
7.420008,0.0059,0.7749,0.0406,0.78
7.458135,0.0393,0.7014,0.0349,0.7
7.470399,0.0665,0.665,0.0569,0.67
7.487187,0.1046,0.6359,0.0555,0.65
7.50435,0.1007,0.5973,0.0816,0.61
7.521963,0.0804,0.4996,0.2035,0.55
7.55911,-0.0945,0.5927,0.0029,0.6
7.576372,-0.1407,0.7652,0.0694,0.78
7.590596,-0.1703,0.978,0.1576,1.01
7.604551,-0.1109,1.0945,0.096,1.1
7.641647,0.2844,1.3109,-0.1097,1.35
7.661977,0.3616,1.6625,0.0989,1.7
7.671204,0.3437,1.782,0.0997,1.82
7.687212,0.1353,2.0837,0.0281,2.09
7.721876,0.4757,1.3503,-0.1077,1.44
7.738497,0.5196,0.7407,0.0965,0.91
7.758812,0.234,0.7009,0.0704,0.74
7.781124,-0.0765,1.0825,0.0027,1.09
7.787976,-0.1292,1.1685,0.0376,1.18
7.821895,-0.3525,1.6276,0.206,1.68
7.83949,-0.0076,1.4436,0.0154,1.44
7.859401,0.2323,1.1255,-0.0811,1.15
7.882493,0.3134,0.8463,0.0892,0.91
7.889014,0.3061,0.8016,0.1493,0.87
7.922119,0.064,0.7344,0.1371,0.75
7.947881,-0.0227,0.7148,0.0391,0.72
7.96578,0.0115,0.7051,0.0794,0.71
7.972364,0.0247,0.71,0.0997,0.72
7.989671,0.0904,0.7378,0.1405,0.76
8.023709,0.191,0.7542,0.1107,0.79
8.039997,0.182,0.7537,0.1559,0.79
8.060586,0.1248,0.6823,0.1361,0.71
8.083991,0.1634,0.6029,0.1107,0.63
8.089865,0.1485,0.635,0.1344,0.67
8.123655,0.0745,0.806,0.2355,0.84
8.141515,0.084,0.9039,0.1529,0.92
8.163108,0.1146,1.0346,0.2008,1.06
8.186192,0.2641,1.0994,0.225,1.15
8.190788,0.2839,1.1057,0.2306,1.16
8.223738,0.3621,1.0647,0.237,1.15
8.243855,0.2531,1.0517,0.1168,1.09
8.267202,-0.0191,1.0723,0.2499,1.1
8.273309,-0.0511,1.1231,0.173,1.14
8.307322,-0.4994,1.5499,-0.2981,1.66
8.32438,-0.5277,1.7658,-0.2218,1.86
8.346627,-0.0704,1.8961,0.4713,1.96
8.36979,0.2108,1.6393,0.1226,1.66
8.381374,0.3643,1.482,0.1405,1.53
8.408047,0.3867,1.1314,0.1918,1.21
8.42449,0.2521,0.9569,0.1016,0.99
8.445438,0.2099,0.7539,0.0926,0.79
8.467322,0.1632,0.6359,0.0708,0.66
8.473521,0.1459,0.6188,0.0569,0.64
8.508595,0.0916,0.6733,0.0039,0.68
8.525947,0.0787,0.772,0.0418,0.78
8.543149,0.0366,0.8463,0.031,0.85
8.561631,-0.0112,0.9144,0.045,0.92
8.588855,-0.0611,0.9999,0.0757,1
8.608357,-0.0528,1.0009,0,1
8.624983,-0.065,0.9951,0.0977,1
8.645328,-0.0083,0.985,0.1204,0.99
8.666568,0.0647,0.9181,0.1031,0.93
8.691893,0.0787,0.9291,0.0628,0.93
8.708506,0.0266,0.9999,0.0344,1
8.725504,-0.011,1.1101,0.1002,1.11
8.741597,-0.033,1.18,0.1466,1.19
8.764075,0.0086,1.2066,0.1136,1.21
8.783981,0.0674,1.2465,0.1656,1.26
8.808333,0.1185,1.2765,0.0621,1.28
8.825584,0.1524,1.2865,0.1058,1.3
8.846593,0.2494,1.4414,0.0704,1.46
8.868545,0.331,1.3498,0.1891,1.4
8.892147,0.354,0.9868,-0.0362,1.05
8.909813,0.5018,0.5392,-0.206,0.76
8.928075,0.6848,0.3354,-0.2155,0.79
8.943338,0.4832,0.5697,-0.2424,0.79
8.961319,0.1094,0.8932,-0.2639,0.94
8.992164,-0.1656,1.3823,0.0244,1.39
9.009769,-0.0132,1.2679,-0.0144,1.27
9.026028,0.1881,0.9816,-0.045,1
9.047931,0.406,0.6738,-0.1124,0.79
9.073966,0.3174,0.6821,-0.2123,0.78
9.093171,0.14,0.878,-0.1459,0.9
9.110457,0.1036,1.0039,-0.0611,1.01
9.127835,0.1568,1.0791,-0.0264,1.09
9.145028,0.2697,1.084,-0.0335,1.12
9.165731,0.4253,1.039,-0.0061,1.12
9.187034,0.4398,0.9374,0.032,1.04
9.210303,0.3513,0.8211,-0.0183,0.89
9.227462,0.2641,0.7947,0.0364,0.84
9.244194,0.2543,0.7679,0.02,0.81
9.290309,0.3025,0.8294,0.0704,0.89
9.290802,0.3025,0.8294,0.0704,0.89
9.310381,0.3174,0.8416,0.0513,0.9
9.327635,0.3144,0.8775,0.0198,0.93
9.3661,0.3159,1.0239,0.0159,1.07
9.366901,0.3171,1.0349,0.0151,1.08
9.391291,0.2888,1.1512,0.1114,1.19
9.413271,0.2763,1.1783,0.1173,1.22
9.428856,0.2406,1.2008,0.1581,1.23
9.448954,0.181,1.243,0.1969,1.27
9.471102,0.182,1.1895,0.1901,1.22
9.494026,0.1659,1.084,0.1544,1.11
9.512059,0.1783,1.0449,0.0508,1.06
9.528528,0.2472,1.0415,0.0176,1.07
9.549818,0.2509,1.0913,-0.0757,1.12
9.572333,0.2687,1.0578,-0.3298,1.14
9.594558,0.2267,1.0525,-0.2619,1.11
9.611991,0.0088,1.0561,-0.1478,1.07
9.629516,-0.0945,1.0972,-0.1608,1.11
9.667594,0.0418,1.0698,-0.139,1.08
9.689907,0.1752,1.0464,-0.0151,1.06
9.690304,0.184,1.0456,-0.0073,1.06
9.711855,0.2257,1.0232,0.0337,1.05
9.729423,0.2143,0.9799,0.0117,1
9.771986,0.2147,0.8047,-0.031,0.83
9.772464,0.2152,0.7903,-0.0515,0.82
9.795297,0.1862,0.7415,-0.0828,0.77
9.81269,0.1314,0.8033,-0.0479,0.82
9.851288,0.0833,0.9916,-0.0183,1
9.872991,0.0989,1.0271,0.0169,1.03
9.873369,0.0989,1.0271,0.0169,1.03
9.895687,0.1639,0.9968,0.0366,1.01
9.91413,0.1402,0.9633,0.0787,0.98
9.951815,0.0479,0.934,0.0789,0.94
9.976655,0.0391,0.9347,0.106,0.94
9.977,0.0391,0.9347,0.106,0.94
9.996009,0.0603,0.9181,0.0611,0.92
10.013919,0.064,0.911,0.0122,0.91
10.051307,0.0122,1.0017,0.0093,1
10.077091,-0.0098,1.0515,0.0836,1.05
10.077347,-0.0098,1.0515,0.0836,1.05
10.098677,0.0164,1.0229,0.0518,1.02
10.113859,0.0442,1.0114,0.0352,1.01
10.148838,0.1029,1.1248,0.021,1.13
10.168634,0.1571,1.1868,0.034,1.2
10.190062,0.1869,1.2257,0.0594,1.24
10.197343,0.1656,1.2188,0.042,1.23
10.214201,0.1652,1.0957,0.0042,1.11
10.252937,0.4556,0.6386,-0.2377,0.82
10.275725,0.3713,0.8553,-0.2086,0.96
